endpoint,tag,summary,parameters
/api/red/rayos/mapa,red-rayos,Mapa con los rayos registrados en periodo standard. Último elaborado.,[]
/api/satelites/producto/nvdi,informacion-satelite,Índice normalizado de vegetación.,[]
/api/satelites/producto/sst,informacion-satelite,Temperatura del agua del mar.,[]
/api/valores/climatologicos/diarios/datos/fechaini/{fechaIniStr}/fechafin/{fechaFinStr}/estacion/{idema},valores-climatologicos,Climatologías diarias.,"['fechaIniStr', 'fechaFinStr', 'idema']"
/api/valores/climatologicos/diarios/datos/fechaini/{fechaIniStr}/fechafin/{fechaFinStr}/todasestaciones,valores-climatologicos,Climatologías diarias.,"['fechaIniStr', 'fechaFinStr']"
/api/valores/climatologicos/inventarioestaciones/estaciones/{estaciones},valores-climatologicos,Estaciones por indicativo.,['estaciones']
/api/valores/climatologicos/inventarioestaciones/todasestaciones,valores-climatologicos,Inventario de estaciones (valores climatológicos).,[]
/api/valores/climatologicos/mensualesanuales/datos/anioini/{anioIniStr}/aniofin/{anioFinStr}/estacion/{idema},valores-climatologicos,Climatologías mensuales anuales.,"['anioIniStr', 'anioFinStr', 'idema']"
/api/valores/climatologicos/normales/estacion/{idema},valores-climatologicos,Climatologías normales (1991-2020).,['idema']
/api/valores/climatologicos/valoresextremos/parametro/{parametro}/estacion/{idema},valores-climatologicos,Valores extremos.,"['parametro', 'idema']"
/api/antartida/datos/fechaini/{fechaIniStr}/fechafin/{fechaFinStr}/estacion/{identificacion},antartida,Datos Antártida.,"['fechaIniStr', 'fechaFinStr', 'identificacion']"
