loss,mean_absolute_error,r2_score,root_mean_squared_error,val_loss,val_mean_absolute_error,val_r2_score,val_root_mean_squared_error
0.005113032180815935,0.05595255270600319,0.673244833946228,0.07150547206401825,0.004972327966243029,0.055819321423769,0.6883549690246582,0.0705147311091423
0.004576618317514658,0.05358785763382912,0.7075344324111938,0.067650705575943,0.004712038207799196,0.053903624415397644,0.7046688795089722,0.06864428520202637
0.004056158941239119,0.04973497986793518,0.7407844066619873,0.06368798017501831,0.004505138378590345,0.05206596106290817,0.7176365256309509,0.06712032854557037
0.0037380934227257967,0.04724324494600296,0.7611215114593506,0.061139948666095734,0.004503373056650162,0.05187210813164711,0.7177472114562988,0.0671071782708168
0.0035958236549049616,0.04610835760831833,0.7702074646949768,0.059965185821056366,0.004328382667154074,0.05049075931310654,0.7287148237228394,0.06579044461250305
0.0035070895683020353,0.04539931192994118,0.7758852243423462,0.05922068655490875,0.004312010016292334,0.050323307514190674,0.7297409772872925,0.06566590070724487
0.00344653963111341,0.044921182096004486,0.7797564268112183,0.058707237243652344,0.004262392874807119,0.05002855882048607,0.7328507900238037,0.06528700143098831
0.0034015148412436247,0.04455872252583504,0.7826264500617981,0.05832250788807869,0.004304985981434584,0.050425849854946136,0.7301812171936035,0.06561239063739777
0.0033646237570792437,0.044269170612096786,0.7849797606468201,0.05800537392497063,0.004290519282221794,0.05019082874059677,0.7310879230499268,0.06550205498933792
0.003336025169119239,0.0440489798784256,0.7868170738220215,0.05775833502411842,0.004224938806146383,0.04981524497270584,0.7351982593536377,0.0649995282292366
