id,nombre
id04009,Alcudia de Monteagud
id12006,Alcudia de Veo
id10010,Alcuéscar
id46016,Alcàntera de Xúquer
id46015,Alcàsser
id10008,Alcántara
id13005,Alcázar de San Juan
id16010,Alcázar del Rey
id30902,"Alcázares, Los"
id04008,Alcóntar
id07003,Alcúdia
id46020,"Alcúdia de Crespins, l'"
id46019,"Alcúdia, l'"
id46021,Aldaia
id40012,Aldea Real
id47006,Aldea de San Miguel
id35020,"Aldea de San Nicolás, La"
id10012,Aldea del Cano
id28008,Aldea del Fresno
id37015,Aldea del Obispo
id10013,"Aldea del Obispo, La"
id13009,Aldea del Rey
id45008,Aldea en Cabo
id43904,"Aldea, L'"
id10011,Aldeacentenera
id37013,Aldeacipreste
id37014,Aldeadávila de la Ribera
id42009,Aldealafuente
id40006,Aldealcorvo
id37016,Aldealengua
id40007,Aldealengua de Pedraza
id40008,Aldealengua de Santa María
id42010,Aldealices
id42011,Aldealpozo
id42012,Aldealseñor
id47007,Aldeamayor de San Martín
id45009,Aldeanueva de Barbarroya
id26008,Aldeanueva de Ebro
id37017,Aldeanueva de Figueroa
id19015,Aldeanueva de Guadalajara
id45010,Aldeanueva de San Bartolomé
id05007,Aldeanueva de Santa Cruz
id40009,Aldeanueva de la Serrezuela
id37018,Aldeanueva de la Sierra
id10014,Aldeanueva de la Vera
id10015,Aldeanueva del Camino
id40010,Aldeanueva del Codonal
id23004,Aldeaquemada
id37019,Aldearrodrigo
id37020,Aldearrubia
id05008,Aldeaseca
id37021,Aldeaseca de Alba
id37022,Aldeaseca de la Frontera
id40013,Aldeasoña
id37023,Aldeatejada
id37024,Aldeavieja de Tormes
id40014,Aldehorno
id10016,Aldehuela de Jerte
id50016,Aldehuela de Liestos
id42013,Aldehuela de Periáñez
id37026,Aldehuela de Yeltes
id37025,Aldehuela de la Bóveda
id40015,Aldehuela del Codonal
id05010,"Aldehuela, La"
id42014,"Aldehuelas, Las"
id18010,Aldeire
id40016,Aldeonte
id43006,Aldover
id30006,Aledo
id20005,Alegia
id01001,Alegría-Dulantzi
id43007,"Aleixar, L'"
id08003,Alella
id42015,Alentisque
id22019,Alerre
id26009,Alesanco
id26010,Alesón
id18011,Alfacar
id46022,Alfafar
id03010,Alfafara
id50017,Alfajarín
id44016,Alfambra
id50018,Alfamén
id43008,Alfara de Carles
id46024,Alfara de la Baronia
id46025,Alfara del Patriarca
id49005,Alfaraz de Sayago
id29003,Alfarnate
id29004,Alfarnatejo
id26011,Alfaro
id46026,Alfarp
id46027,Alfarrasí
id25013,Alfarràs
id46023,Alfauir
id12007,Alfondeguilla
id43009,Alforja
id50019,Alforque
id27002,Alfoz
id09011,Alfoz de Bricia
id39001,Alfoz de Lloredo
id09907,Alfoz de Quintanadueñas
id09012,Alfoz de Santa Gadea
id03011,"Alfàs del Pi, l'"
id22020,Alfántega
id25014,Alfés
id41007,"Algaba, La"
id24002,Algadefe
id07004,Algaida
id11003,Algar
id19016,Algar de Mesa
id46028,Algar de Palancia
id18012,Algarinejo
id16013,Algarra
id29005,Algarrobo
id29006,Algatocín
id11004,Algeciras
id46029,Algemesí
id25015,Algerri
id28009,Algete
id46030,Algimia de Alfara
id12008,Algimia de Almonacid
id46031,Alginet
id11005,Algodonales
id49006,Algodre
id19017,Algora
id03012,Algorfa
id25016,Alguaire
id30007,Alguazas
id03013,Algueña
id41008,Algámitas
id04010,Alhabia
id04011,Alhama de Almería
id50020,Alhama de Aragón
id18013,Alhama de Granada
id30008,Alhama de Murcia
id13010,Alhambra
id29007,Alhaurín de la Torre
id29008,Alhaurín el Grande
id18014,Alhendín
id19018,Alhóndiga
id44017,Aliaga
id16014,Aliaguilla
id03014,Alicante/Alacant
id04012,Alicún
id18015,Alicún de Ortega
id24003,Alija del Infantado
id25017,Alins
