ID_PLAYA,NOMBRE_PLAYA
2005604,Mutriku-Motrico
2006102,La Antilla-San Juan
2006902,Ondarreta-Ondarreta
2006904,La Kontxa-La Concha
2006905,La Zurriola
2007901,Zarautz-Zarauz
2008102,Itzurun-San Telmo
2008103,Santixo-Santiago
2100502,Matalascañas
2101001,Isla Canela
2102102,El Portil
2104101,El Espigón
2104202,Central
2104203,Del Hoyo
2104205,Islantilla
2104402,Antilla
2105001,El Parador
2105501,De Mazagón
2106002,La Bota
2106004,Punta Umbría
2700501,"Altar, San Cosme"
2700503,San Miguel Reinante/Area Longa
2700504,"Valea, Benquerencia"
2701302,O Torno
2701901,A Rapadoira
2701902,Area Longa
2702501,Esteiro
2702503,Lago
2705005,Os Castros
2705101,As Catedrais
2706401,Abrela
2706402,Area Longa
2706403,"Areagrande, San Roman"
2706405,Xilloi
2706601,Area
2706602,Covas
2790201,A Marosa
2902503,Bil-Bil y Arroyo de la Miel
2902514,Carvajal
2904101,Ancha
2905106,La Rada
2905402,Los Boliches - Las Gaviotas
2906707,La Malagueta
2906712,El Dedo - El Chanquete
2906801,Sabinillas
2906906,Rio Verde - Puerto Banús
2906912,La Bajadilla
2906921,Alicate - Costa Bella - Pinomar
2907002,La Butibamba
2907502,Torrecilla
2907509,Burriana
2908202,Rincón de la Victoria
2909103,Ferrara - Las Lindes
2909406,Torre del Mar
2990102,La Carihuela - El Bajondillo - Playamar
3000301,La Carolina
3000312,La Colonia
3000313,Poniente
3000314,Levante
3000315,Las Delicias
3000327,Calabardina
3001610,La Azohía
3001619,El Portús
3001624,Cala Cortina
3001634,De Calblanque
3001653,Las Amoladeras
3001655,"Barco Perdido, Galúa"
3001676,Los Urrutias
3002414,Puntas de Calnegre
3002618,Bolnuevo
3002623,La Reya
3002626,La Isla
3002630,El Alamillo
3002633,Del Mojón
3003503,De Colón
3003509,Mistral
3003526,El Arenal
3003531,Banco del Tabal
3003602,Villananitos
3003605,La Torre Derribada
3003606,Las Salinas
3004102,Del Lastre
3090202,Punta Calera
3090205,El Espejo
3090206,Manzanares
3301303,Arenal de Moris
3301403,Candás - La Palmera
3301406,Xivares
3301608,"Salinas - San Juan, El Espartal"
3301704,Peñarronda
3301804,Arnielles
3301903,La Isla
3302117,San Pedro de Bocamar
3302120,La Concha de Artedo
3302302,Pormenande
3302403,San Lorenzo
3302509,Santa Marina de Luanco
3303402,Otur
3303407,Primera y Segunda de Luarca
3303612,"Niembro, Toranda"
3303614,Xiglu - Barro - Sorraos
3303618,"Palombina - Las Camaras, Los Frailes"
3303626,Toró
3303902,Aguilar
3304101,Navia
3305501,La Franca
3305601,Vega
3305602,Santa Marina
3306901,Los Quebrantos
3307007,"Anguileiro, La Grande / Los Campos"
3307606,Rodiles
3500101,Las Nieves
3500201,Arinaga
3500301,Caleta de Fuste
3500403,El Reducto
3500601,El Puertillo
3500901,Sardina
3501017,La Garita
3501101,El Burrero
3501201,Taurito
3501202,Amadores
3501301,Charco de San Lorenzo
3501401,Marfolín
3501402,Corralejo
3501403,Grandes Playas-El Caserón
3501501,Ajuí
3501502,La Pared
3501503,El Cofete
3501504,El Puertito
3501505,Morro Jable
3501506,Butihondo y El Matorral
3501507,Costa Calma y Sotavento de Jandía
3501601,Las Canteras
3501701,"El Puertito, Los Molinos"
3501702,Blanca
3501801,Honda
3501901,Maspalomas
3501902,El Inglés
3501903,San Agustín
3502001,Puerto La Aldea y La Aldea
3502002,Tasarte
3502201,"Pozo Izquierdo, El Arenal"
3502301,San Felipe
3502425,Las Cucharas
3502601,Melenara
3502808,Los Pocillos
3502809,Matagorda
3502811,Guacimeta
3502904,Ría de la Santa
3503001,Gran Tarajal
3503410,Playa Blanca
3600303,"Ladeira, Ramallosa"
3600402,Area de Bon
3600408,Mourisca
3600411,Portomaior-Agrelo
3600419,"Melide, Ons"
3600802,Barra-Nerga
3600803,Rodeira
3600805,Area Brava
3600806,Area Grande
3600807,Limens
3600808,"Vilariño-Arnelas, Hio"
3602201,A Lanzada
3602202,Area da Cruz
3602208,Area Grande
3602209,Mexilloeira
3602305,Camposancos
3602601,Aguete
3602603,Mogor
3602606,Lapamán
3602902,Tirán
3602903,"Xunqueira, Moaña"
3603501,Panxón-América
3603504,Patos
3604103,Chancelas
3604501,Cesantes
3605102,Areas
3605103,Portonovo-Baltar
3605105,Canelas
3605110,Maxor
3605111,Montalvo
3605117,Silgar
3605701,A Fonte
3605702,Bao
3605703,"Rodas, Cíes"
3605706,Samil
3605711,Canido
3606001,Compostela
3606102,As Sinas
3606103,O Terrón
3690102,Camaxe
3800112,Fañabe
3800116,Las Américas
3800301,Santiago
3800302,Nogales
3800504,Poris
3800603,Las Vistas
3800801,Bajamar
3800901,Los Cancajos
3801005,La Ballenita
3801103,La Hornilla - Los Guanches
3801311,La Restinga
3801404,El Faro
3801503,Caletón De Garachico
3801705,El Médano
3801801,Santo Domingo
3801905,San Juan
3802002,El Puertito
3802101,Hermigua
3802201,San Marcos
3802302,San Juan/Castillo
3802305,El Arenisco
3802403,Puerto Naos
3802501,El Caletón
3802601,El Bollullo
3802801,Jardín
3802804,Martiánez
3803101,El Socorro
3803302,Charco Azul
3803401,Las Aguas
3803605,San Sebastian
3803801,La Nea
3803806,Las Teresitas
3804004,La Arena
3804101,La Garañona
3804203,El Gomero
3804302,La Arena/Mesa del Mar
3804502,Puerto de Tazacorte
3804803,El Tamaduste
3804902,Valle Gran Rey
3805004,Vallehermoso
3900101,Luaña-Cobreces
3900602,La Arena
3901102,Cuberris
3902002,Oriñon
3902004,Ostende
3902401,Comillas
3903502,La Salve
3904401,Cuchia-Marzan
3904405,Mogro-Usil
3904701,Ris
3905201,Valdearenas
3906102,Somo-Loredo
3907302,San Juan de la Canal
3907506,Sardinero
3907511,La Magdalena
3907902,San Martín
3908004,El Sable de Merón
3908503,La Concha
3909101,Oyambre
3909504,Amio
4301202,Altafulla
4301313,L'Alguer
4301401,Els Eucaliptus
4303703,Calafell
4303804,Prat d'en Fores i Regueral
4303806,Vilafortuny-L'Esquirol
4305001,Creixell
4305101,Cunit
4309201,Peixerota
4309211,Cristall
4313105,Roda de Bara
4313601,El Garbi
4314802,L'Arrabassada
4314808,La Mora
4315302,Barrio Maritimo/La Paella
4316203,L'Arenal
4316303,Coma Ruga
4317101,La Pineda
4390103,Riomar
4390502,Llevant
4390602,Cap Roig
4390606,D'Avellaners
4601301,El Port / Saplaya
4604801,Bellreguard
4608201,Raco de Mar
4610502,El Dossel
4610506,El Raco
4610507,Sant Antoni
4611302,Daimús
4613102,Norte de Gandia
4614301,Xeraco
4618102,Pau-Pi
4618103,L'Aigua Blanca
4619501,Piles
4619901,La Pobla de Farnals
4622001,Corint / Malvarrosa
4622003,Port de Sagunt / Sagunt
4623505,Mareny Blau
4623801,Tavernes
4625001,Playa de Levante / Malvarrosa
4625004,La Devesa
4801401,Muriola- La Cantera
4802802,Ea
4804301,Gorlitz-Gorliz
4804401,Azkorri-Gorrondatxe
4804402,Barinatxe-Salvaje
4804801,Laida
4804802,Laga
4804901,Ogeia-Ispaster
4805601,Armintxekoalde
4805701,Isuntza
4806302,Karraspio
4806801,Laidatxu
4807101,Muskiz-La Arena
4807301,Arrigorri
4807602,Toña
4807603,San Antonio De Abiña
4807701,Plentzia-Plencia
4808502,Atxabiribil-Arrietara
5100104,Benítez
5100108,La Ribera - El Chorrillo
5200103,El Hipódromo
