provincia_id,fecha,hr_media,hr_min,hr_max,tmed,tmin,tmax,prec,velmedia,racha,pres_max,pres_min,sol
1,2022-01-01,70.78,54.0,85.56,10.87,5.37,16.38,0.0,1.98,8.33,968.6,966.25,7.65
2,2022-01-01,52.18,26.67,76.08,12.6,3.13,22.06,0.0,0.91,4.26,947.18,944.65,7.6
3,2022-01-01,70.17,45.33,89.25,12.28,4.65,19.93,0.06,1.51,5.28,1024.73,1022.37,7.9
4,2022-01-01,70.89,53.1,81.3,13.96,9.16,18.76,0.0,1.88,5.81,997.72,994.96,5.7
5,2022-01-01,51.75,31.56,80.56,10.62,1.94,19.3,0.0,1.46,4.86,900.4,898.5,7.1
6,2022-01-01,66.65,44.05,89.36,13.7,6.34,21.05,0.01,1.5,4.98,983.37,980.83,8.4
7,2022-01-01,91.12,83.29,99.21,11.98,9.21,14.75,0.01,2.2,6.21,1024.0,1021.84,1.03
8,2022-01-01,59.21,40.39,79.52,12.55,6.08,19.04,0.0,1.47,4.96,980.58,977.6,6.72
9,2022-01-01,66.64,44.14,88.29,9.06,1.79,16.31,0.0,1.42,5.88,933.12,930.42,5.5
10,2022-01-01,62.93,46.21,81.59,12.75,7.24,18.23,0.0,1.84,5.7,986.85,984.38,7.9
11,2022-01-01,74.0,58.93,89.07,14.29,9.66,18.93,0.01,2.76,8.13,1008.36,1004.74,9.0
12,2022-01-01,51.0,32.33,64.22,13.87,6.98,20.76,0.0,1.32,4.79,962.6,960.45,8.4
13,2022-01-01,68.42,41.9,91.6,11.7,3.3,20.14,0.04,0.81,3.82,953.48,950.95,7.4
14,2022-01-01,63.07,36.14,86.64,14.47,6.39,22.55,0.0,1.43,5.0,974.77,972.57,9.2
15,2022-01-01,52.22,43.72,94.22,16.86,13.56,20.13,3.82,5.99,16.43,1006.51,1002.1,3.82
16,2022-01-01,62.0,33.0,86.85,11.09,1.42,20.76,0.0,1.04,4.01,931.32,928.58,7.8
17,2022-01-01,79.0,63.57,90.76,8.57,2.95,14.2,0.06,1.13,4.54,980.72,978.66,2.93
18,2022-01-01,55.92,31.31,68.69,13.08,6.44,19.71,0.02,2.05,5.86,932.9,930.5,8.07
19,2022-01-01,57.0,29.22,81.78,10.14,0.58,19.7,0.0,1.07,4.67,927.25,924.4,7.63
20,2022-01-01,45.94,30.31,61.44,17.7,12.48,22.96,0.0,2.49,9.92,1007.16,1003.92,6.87
21,2022-01-01,62.38,42.0,85.38,14.5,7.93,21.06,0.01,1.35,4.91,1009.82,1006.52,9.1
22,2022-01-01,62.32,46.72,75.62,8.34,2.98,13.7,0.01,1.47,5.36,930.97,928.47,6.13
23,2022-01-01,48.0,30.45,70.18,15.38,8.2,22.58,0.0,1.19,5.05,964.82,962.15,7.35
24,2022-01-01,74.85,55.62,94.54,8.23,2.29,14.15,0.03,1.74,7.94,914.58,911.82,5.47
25,2022-01-01,65.1,43.0,79.73,7.5,1.25,13.76,0.01,1.29,4.68,989.8,987.45,0.0
26,2022-01-01,81.43,63.5,88.0,7.78,3.05,12.55,0.04,1.18,7.0,987.6,984.6,0.0
27,2022-01-01,43.82,37.27,68.91,17.02,13.52,20.55,0.27,3.52,12.83,971.8,968.6,4.5
28,2022-01-01,58.33,32.06,78.67,10.21,2.69,17.74,0.0,1.03,4.64,923.45,921.25,8.18
29,2022-01-01,78.6,64.55,92.05,13.04,8.92,17.15,0.01,1.43,6.12,1020.87,1018.08,1.85
30,2022-01-01,65.04,41.78,85.12,12.66,4.96,20.44,0.02,1.31,4.73,1005.0,1009.36,6.27
31,2022-01-01,79.0,63.8,93.15,8.25,2.73,13.76,0.05,0.92,4.87,986.05,982.8,7.4
32,2022-01-01,61.0,42.17,84.08,13.33,7.86,18.79,1.38,3.75,13.07,968.25,965.25,4.4
33,2022-01-01,43.8,34.27,59.12,17.07,13.36,20.79,0.0,3.66,12.47,977.52,974.78,2.01
34,2022-01-01,73.25,51.88,91.5,8.48,2.4,14.56,0.0,1.88,7.9,915.95,913.4,4.5
35,2022-01-01,37.86,21.39,56.81,20.32,15.79,24.86,0.0,2.43,7.13,1022.46,1019.3,9.25
36,2022-01-01,46.7,41.67,95.44,17.18,13.31,21.04,6.19,4.69,13.81,1015.85,1012.1,2.53
37,2022-01-01,53.36,30.0,82.64,11.34,3.45,19.22,0.0,2.14,7.72,915.84,913.74,7.18
38,2022-01-01,32.79,21.25,47.67,19.5,14.97,24.02,0.0,2.25,6.88,972.25,968.7,9.18
39,2022-01-01,49.68,35.16,69.26,14.26,9.49,19.05,0.0,3.78,13.6,963.74,960.92,4.2
40,2022-01-01,45.62,27.62,65.88,11.44,3.91,18.96,0.0,3.13,7.47,872.85,871.2,6.05
41,2022-01-01,64.88,41.25,87.5,14.65,7.75,21.55,0.01,1.47,6.07,1000.24,997.16,9.15
42,2022-01-01,57.92,30.77,84.15,9.19,-0.24,18.65,0.0,1.86,6.46,906.1,903.5,8.5
43,2022-01-01,71.64,50.0,94.1,10.9,3.73,18.1,0.05,1.87,6.0,1020.85,1018.4,8.63
44,2022-01-01,53.69,32.65,74.35,10.68,2.62,18.71,0.0,1.79,5.22,943.7,940.47,8.3
45,2022-01-01,71.1,42.9,88.7,10.14,1.55,18.8,0.04,1.24,5.0,948.75,946.2,8.7
46,2022-01-01,65.95,38.32,86.89,12.56,4.17,20.96,0.01,1.15,3.88,993.9,991.23,8.02
47,2022-01-01,79.0,52.33,97.78,8.63,0.21,17.07,0.0,1.51,5.03,937.35,934.75,6.75
48,2022-01-01,46.89,32.9,59.7,17.67,12.67,22.64,0.01,3.05,12.66,1011.5,1008.55,5.7
49,2022-01-01,85.69,61.31,98.77,7.74,0.86,14.61,0.0,1.27,5.05,935.28,932.8,5.7
50,2022-01-01,84.86,67.86,96.71,6.16,0.6,11.75,0.0,1.06,3.93,982.0,978.72,2.78
51,2022-01-01,82.0,78.0,89.0,12.8,11.3,14.2,0.0,2.8,6.7,1019.4,1016.8,0.0
52,2022-01-01,81.0,74.0,92.0,13.4,11.8,15.1,0.0,1.7,4.4,1023.6,1020.6,4.1
1,2022-01-02,68.67,49.11,96.0,10.49,4.52,16.46,0.0,2.18,8.47,968.7,966.4,4.5
2,2022-01-02,57.09,30.5,80.17,11.64,2.68,20.6,0.0,1.1,3.95,947.32,944.98,7.2
3,2022-01-02,65.75,39.5,88.58,12.12,3.98,20.23,0.05,1.32,4.36,1024.87,1021.97,8.07
4,2022-01-02,65.6,54.3,77.9,13.75,8.73,18.74,0.0,1.91,5.74,997.88,994.94,7.2
5,2022-01-02,59.67,40.67,89.78,10.5,3.83,17.18,0.0,1.39,5.87,901.3,898.9,6.4
6,2022-01-02,75.32,50.95,93.82,12.62,5.58,19.63,0.01,1.03,3.39,985.17,982.67,7.82
7,2022-01-02,87.1,79.33,96.1,12.12,9.49,14.79,0.0,1.99,6.43,1024.33,1022.05,0.9
8,2022-01-02,65.0,47.43,84.04,11.17,5.42,16.91,0.0,1.26,4.68,980.7,978.22,4.85
9,2022-01-02,68.5,50.64,93.29,8.96,3.14,14.8,0.0,2.13,7.63,933.65,930.95,3.22
10,2022-01-02,70.62,53.93,89.41,12.06,6.96,17.17,0.0,1.02,3.68,988.8,986.15,6.13
11,2022-01-02,77.93,59.29,91.93,13.03,7.44,18.61,0.04,1.38,4.91,1009.69,1007.14,7.5
12,2022-01-02,49.22,34.38,66.5,12.86,6.35,19.38,0.02,1.34,4.47,962.65,960.3,5.7
13,2022-01-02,71.92,44.6,91.9,10.8,2.94,18.66,0.05,0.71,3.49,954.55,952.05,7.05
14,2022-01-02,68.5,42.64,91.43,12.96,5.37,20.53,0.0,1.38,4.62,976.27,973.57,9.1
15,2022-01-02,86.94,80.88,94.29,13.68,11.94,15.42,0.46,5.13,11.45,1010.97,1006.4,4.14
16,2022-01-02,68.69,41.77,90.38,9.54,1.04,18.04,0.0,0.82,3.81,931.7,929.25,5.8
17,2022-01-02,83.1,72.33,93.29,8.03,3.81,12.23,0.02,0.96,4.53,981.34,979.54,0.67
18,2022-01-02,55.42,32.77,68.15,12.32,5.62,19.01,0.02,1.73,4.7,933.7,931.02,7.25
19,2022-01-02,64.89,42.56,85.89,9.11,2.12,16.11,0.0,1.3,4.55,927.45,924.75,4.13
20,2022-01-02,59.88,29.44,90.19,14.63,8.94,20.34,0.0,1.65,9.14,1009.92,1004.1,3.7
21,2022-01-02,67.17,46.75,85.17,13.89,7.19,20.61,0.0,1.24,4.28,1011.62,1008.85,8.7
22,2022-01-02,66.22,47.24,84.59,7.89,2.23,13.56,0.0,1.3,5.52,930.57,927.97,4.87
23,2022-01-02,53.09,33.36,73.0,13.85,7.04,20.68,0.0,0.76,3.91,965.98,963.3,7.35
24,2022-01-02,76.31,55.77,96.0,7.77,2.14,13.39,0.0,1.71,7.39,915.72,912.18,7.07
25,2022-01-02,67.18,44.32,83.5,7.03,0.89,13.18,0.02,1.44,5.16,989.7,987.2,0.0
26,2022-01-02,75.88,59.25,94.5,8.78,4.41,13.15,0.0,1.43,6.15,987.5,984.5,3.1
27,2022-01-02,75.27,58.18,90.36,12.0,8.29,15.72,0.02,2.27,10.37,976.3,971.8,5.3
28,2022-01-02,62.52,41.67,86.72,9.51,2.95,16.06,0.0,0.96,4.69,923.92,921.4,6.67
29,2022-01-02,77.8,63.65,90.45,12.27,7.55,16.98,0.0,1.11,4.14,1021.37,1018.28,1.6
30,2022-01-02,61.42,38.67,82.69,12.59,4.57,20.72,0.01,1.73,5.09,1004.9,1009.03,8.07
31,2022-01-02,80.85,60.75,97.65,8.59,3.38,13.8,0.0,0.92,5.19,985.8,983.0,1.2
32,2022-01-02,81.58,61.92,95.33,10.58,5.4,15.77,0.01,1.27,8.1,972.1,967.8,6.45
33,2022-01-02,65.5,40.35,86.38,13.13,8.45,17.82,0.0,2.35,10.74,981.34,975.71,5.69
34,2022-01-02,79.0,61.88,96.25,7.85,2.17,13.56,0.0,2.29,8.72,916.35,913.5,6.35
35,2022-01-02,36.31,22.03,59.4,19.89,15.47,24.28,0.01,2.76,9.2,1024.59,1021.69,9.4
36,2022-01-02,88.27,77.44,96.22,13.08,10.19,15.95,0.18,2.07,7.23,1013.27,1008.77,1.33
37,2022-01-02,68.29,47.07,93.71,10.88,4.99,16.76,0.0,1.56,6.42,917.3,914.7,5.15
