provincia_id,fecha,hr_media,hr_min,hr_max,tmed,tmin,tmax,prec,velmedia,racha,pres_max,pres_min,sol
1,2024-01-01,69.22,53.56,92.11,6.36,2.22,10.48,0.0,2.22,10.82,960.15,958.35,6.6
2,2024-01-01,66.55,45.33,91.0,6.97,1.9,12.05,0.0,2.13,8.01,940.72,935.82,4.9
3,2024-01-01,58.33,39.67,78.17,11.86,6.51,17.23,0.0,2.06,9.23,1018.3,1013.13,4.4
4,2024-01-01,58.0,36.5,80.57,12.38,7.92,16.86,0.0,2.98,9.42,980.79,975.24,6.3
5,2024-01-01,76.25,50.25,97.25,5.44,-0.11,10.97,0.0,1.46,6.76,892.3,889.4,6.4
6,2024-01-01,83.67,60.67,98.29,9.81,5.78,13.86,0.04,1.16,5.72,978.72,974.25,5.02
7,2024-01-01,80.29,63.68,94.05,10.38,5.65,15.13,0.27,1.52,5.74,1016.55,1011.65,0.83
8,2024-01-01,73.64,56.24,88.19,7.97,3.33,12.57,0.02,1.21,5.33,977.6,974.1,3.8
9,2024-01-01,73.0,55.85,90.23,4.54,0.92,8.17,0.0,2.51,8.67,925.0,922.0,4.97
10,2024-01-01,85.76,65.18,96.86,6.55,2.2,10.91,0.01,1.19,5.35,981.82,977.78,6.13
11,2024-01-01,76.87,60.5,92.36,13.81,9.23,18.38,0.0,1.63,6.13,1001.18,997.07,6.55
12,2024-01-01,57.62,39.38,75.62,7.64,3.03,12.28,0.0,2.34,8.82,954.8,950.7,6.3
13,2024-01-01,76.69,53.08,97.58,7.41,2.71,12.1,0.05,1.31,6.15,948.1,942.98,6.33
14,2024-01-01,81.6,59.14,97.86,10.28,5.15,15.41,0.02,0.93,4.91,970.2,965.5,6.6
15,2024-01-01,80.71,72.22,92.56,9.85,7.37,12.32,2.83,6.2,16.37,1002.14,995.86,1.2
16,2024-01-01,74.33,52.0,96.92,4.35,-1.33,10.05,0.0,1.3,6.33,927.2,922.03,4.3
17,2024-01-01,76.95,57.86,94.05,8.11,3.17,13.06,0.04,1.05,5.01,964.52,961.4,3.4
18,2024-01-01,55.44,30.61,82.39,7.79,3.18,12.43,0.0,2.91,9.13,851.86,846.84,7.7
19,2024-01-01,75.67,53.56,96.33,4.77,0.36,9.21,0.0,1.7,7.0,919.45,915.3,6.15
20,2024-01-01,65.87,42.73,89.2,10.09,5.68,14.5,0.01,1.63,9.02,1010.06,1006.32,6.1
21,2024-01-01,84.71,66.93,98.5,12.36,7.75,16.96,0.02,1.05,5.18,1005.62,1001.38,3.4
22,2024-01-01,69.52,49.52,89.28,4.57,-0.22,9.37,0.0,1.37,6.11,914.42,910.8,5.57
23,2024-01-01,76.82,56.73,91.82,9.25,4.95,13.55,0.0,1.08,5.16,961.17,955.7,2.9
24,2024-01-01,75.92,55.71,94.0,4.08,-0.02,8.15,0.0,2.13,8.42,906.42,903.9,4.77
25,2024-01-01,71.48,52.21,90.67,3.9,-1.2,9.03,0.0,1.11,5.73,980.65,976.7,7.3
26,2024-01-01,62.75,40.0,87.25,5.99,1.61,10.35,0.0,2.13,8.28,978.0,975.6,7.5
27,2024-01-01,78.09,68.64,90.55,7.53,4.56,10.47,0.0,2.92,12.48,967.2,962.6,0.3
28,2024-01-01,76.75,47.89,95.33,5.28,0.93,9.63,0.0,1.34,6.3,915.82,911.73,5.1
29,2024-01-01,59.05,42.14,75.0,15.66,11.22,20.08,0.0,2.39,9.1,1014.13,1008.78,7.5
30,2024-01-01,59.07,39.79,80.39,11.8,6.16,17.44,0.0,1.77,6.72,998.79,993.69,5.14
31,2024-01-01,76.76,51.0,95.43,7.02,2.14,11.9,0.0,1.05,6.12,976.25,973.95,7.2
32,2024-01-01,85.0,72.0,97.92,5.69,1.54,9.85,0.18,1.5,8.53,924.1,921.4,2.1
33,2024-01-01,60.64,44.12,78.76,9.05,5.31,12.77,0.05,2.84,11.41,971.1,966.6,3.58
34,2024-01-01,79.75,56.62,97.0,3.39,-0.88,7.61,0.0,2.81,8.09,907.3,904.7,5.85
35,2024-01-01,61.31,37.03,84.39,18.17,13.98,22.37,0.0,2.04,6.24,1018.97,1016.26,8.72
36,2024-01-01,85.18,76.18,95.91,8.65,5.32,11.99,0.34,2.69,10.99,998.75,995.15,1.95
37,2024-01-01,75.08,52.85,96.46,4.18,-1.87,10.23,0.02,1.92,8.02,909.5,906.26,7.62
38,2024-01-01,66.58,41.28,88.23,17.01,13.08,20.94,0.0,2.13,6.18,964.15,961.44,8.59
39,2024-01-01,61.96,43.14,82.91,8.23,4.11,12.37,0.06,3.26,11.12,940.22,936.24,5.03
40,2024-01-01,71.0,40.12,96.0,4.05,-0.27,8.39,0.0,2.51,8.17,864.5,861.3,5.95
41,2024-01-01,81.8,61.67,96.73,11.81,6.96,16.7,0.02,1.04,4.47,995.96,991.24,5.6
42,2024-01-01,69.31,42.15,94.62,4.05,-0.55,8.62,0.0,2.55,9.91,896.9,893.8,7.6
43,2024-01-01,60.27,43.2,79.6,8.76,3.23,14.33,0.0,2.19,7.91,1014.35,1010.2,6.13
44,2024-01-01,60.41,39.82,82.24,5.61,0.88,10.36,0.0,2.35,8.58,935.17,931.37,7.13
45,2024-01-01,77.45,50.8,94.9,6.96,2.12,11.78,0.02,0.91,6.17,949.5,944.6,8.5
46,2024-01-01,61.47,39.26,85.0,10.82,5.63,16.01,0.0,1.74,7.27,987.73,983.13,6.07
47,2024-01-01,82.67,60.67,98.78,4.52,-0.38,9.47,0.0,2.5,7.16,930.3,927.1,3.75
