provincia_id,fecha,hr_media,hr_min,hr_max,tmed,tmin,tmax,prec,velmedia,racha,pres_max,pres_min,sol
1,2023-01-01,50.44,39.44,69.89,13.21,9.27,17.17,2.59,4.9,15.45,961.5,957.2,5.35
2,2023-01-01,48.45,25.5,75.42,10.1,2.06,18.2,0.0,1.42,5.81,944.3,940.12,7.2
3,2023-01-01,60.08,35.82,84.36,12.64,5.66,19.63,0.0,1.39,4.37,1021.8,1018.2,4.93
4,2023-01-01,54.67,32.9,72.6,13.94,8.29,19.6,0.0,1.88,7.09,994.22,990.22,6.6
5,2023-01-01,55.3,43.9,89.4,10.61,7.34,13.9,6.87,4.21,13.5,895.4,889.7,4.7
6,2023-01-01,49.25,34.88,93.38,14.52,10.27,18.79,10.21,4.65,12.35,979.08,974.25,2.82
7,2023-01-01,77.54,55.13,94.23,14.5,8.5,20.51,0.07,1.69,5.37,1023.34,1019.62,8.2
8,2023-01-01,66.35,47.57,83.48,11.1,6.13,16.07,0.0,1.3,4.63,979.4,976.55,3.42
9,2023-01-01,50.79,39.14,78.86,12.04,8.13,15.96,2.31,5.37,15.96,926.72,920.98,2.83
10,2023-01-01,60.45,47.96,95.64,12.41,9.45,15.39,18.89,3.74,12.49,981.62,976.02,1.73
11,2023-01-01,59.73,41.43,78.29,14.91,9.48,20.34,4.68,2.35,7.59,1004.96,1001.13,3.55
12,2023-01-01,57.29,34.5,76.75,11.52,5.94,17.14,0.0,1.33,5.91,959.9,956.65,7.25
13,2023-01-01,41.67,23.45,70.18,11.82,4.68,18.96,0.75,1.58,6.04,950.12,945.82,4.37
14,2023-01-01,52.93,32.93,76.93,12.09,6.04,18.17,2.19,1.86,6.04,972.13,968.0,6.0
15,2023-01-01,93.83,84.33,97.33,10.52,7.87,13.15,22.39,4.33,15.84,1002.89,992.34,0.0
16,2023-01-01,51.9,28.36,74.36,9.71,2.39,16.98,0.02,2.1,7.22,930.63,926.0,6.4
17,2023-01-01,73.5,54.4,90.45,10.92,5.13,16.7,0.0,1.27,6.22,970.6,967.95,3.8
18,2023-01-01,45.17,26.73,65.18,10.96,4.88,17.03,0.0,1.3,5.21,930.9,926.25,4.75
19,2023-01-01,46.88,31.0,73.44,9.33,3.2,15.44,0.13,2.23,9.33,923.15,918.0,3.5
20,2023-01-01,34.38,28.94,69.0,17.31,13.89,20.72,2.5,4.67,15.99,1000.94,995.14,6.77
21,2023-01-01,65.36,46.43,95.93,14.26,9.3,19.19,8.12,2.98,8.89,1006.38,1002.45,8.0
22,2023-01-01,60.76,39.93,83.21,9.1,3.67,14.55,1.64,2.53,8.98,927.37,923.27,3.27
23,2023-01-01,41.08,26.5,58.5,12.7,6.98,18.42,0.04,0.94,4.49,956.72,952.55,5.35
24,2023-01-01,87.69,72.31,96.77,7.8,5.65,9.96,17.62,4.64,16.47,906.65,901.1,0.1
25,2023-01-01,54.35,31.82,82.68,8.96,2.37,15.55,0.01,2.13,7.82,985.95,981.9,7.2
26,2023-01-01,52.29,37.75,74.88,12.0,7.59,16.44,1.52,5.18,16.2,980.3,975.0,4.8
27,2023-01-01,91.73,83.36,96.55,9.61,6.83,12.36,40.4,3.1,15.18,967.3,959.7,0.0
28,2023-01-01,57.6,36.67,84.0,9.69,4.77,14.6,0.6,1.83,9.43,926.5,921.08,3.52
29,2023-01-01,48.43,29.9,69.65,14.96,9.71,20.22,0.01,1.26,5.39,1024.8,1021.02,4.2
30,2023-01-01,56.5,33.71,81.57,12.13,5.18,19.08,0.0,1.2,4.29,1002.19,998.02,6.09
31,2023-01-01,42.14,32.1,60.52,13.94,10.18,17.7,0.21,4.56,14.67,979.6,974.45,1.7
32,2023-01-01,92.67,81.75,98.17,9.52,6.33,12.69,42.19,3.43,17.65,922.7,916.8,0.05
33,2023-01-01,83.4,62.04,97.04,11.95,8.39,15.53,17.54,3.48,17.76,983.62,976.4,1.03
34,2023-01-01,72.62,60.25,96.25,9.6,7.08,12.08,16.7,7.12,17.88,908.8,903.15,0.0
35,2023-01-01,63.42,49.5,83.72,18.54,14.98,22.09,0.18,2.54,7.97,1021.5,1018.51,8.27
36,2023-01-01,95.58,91.55,98.09,10.36,7.76,12.98,50.28,2.64,13.61,1004.47,995.83,0.0
37,2023-01-01,61.85,46.15,95.46,10.58,7.38,13.79,15.85,7.23,17.3,909.3,904.02,3.52
38,2023-01-01,75.22,60.27,93.23,16.49,12.98,20.01,0.0,2.2,6.51,970.76,967.82,6.63
39,2023-01-01,56.48,41.0,94.71,14.41,10.18,18.63,14.54,6.12,21.88,976.2,968.7,2.08
40,2023-01-01,46.62,38.25,75.88,11.02,8.02,14.02,2.05,6.74,18.73,867.4,862.5,2.7
41,2023-01-01,56.5,37.88,83.56,12.83,7.4,18.23,6.66,1.57,6.53,997.2,993.26,2.2
42,2023-01-01,47.15,33.23,71.77,9.26,4.55,14.0,0.72,4.29,13.68,901.0,896.6,1.8
43,2023-01-01,78.73,58.7,95.5,11.2,5.56,16.84,0.0,1.75,7.65,1019.55,1016.4,4.0
44,2023-01-01,41.25,24.94,64.06,10.6,4.96,16.25,0.0,2.42,8.28,939.67,935.1,3.17
45,2023-01-01,50.75,30.43,74.29,11.74,6.59,16.85,0.31,1.95,8.33,948.67,945.37,3.7
46,2023-01-01,61.42,36.16,88.26,11.59,5.03,18.14,0.0,0.94,4.86,991.83,987.8,6.75
47,2023-01-01,50.11,40.56,92.11,12.9,8.74,17.03,4.2,6.43,14.81,930.95,925.3,4.25
48,2023-01-01,39.11,31.11,81.56,17.6,12.59,22.6,7.33,3.81,16.27,1006.27,999.93,5.3
49,2023-01-01,70.46,55.15,95.85,10.41,7.57,13.25,10.19,6.28,15.72,927.6,922.18,0.27
50,2023-01-01,64.0,45.86,81.64,10.24,5.01,15.47,0.0,2.43,8.38,976.74,972.16,3.52
51,2023-01-01,85.0,72.0,95.0,16.0,13.7,18.4,0.0,1.9,5.3,1015.8,1012.7,5.8
52,2023-01-01,67.0,29.0,90.0,15.0,10.3,19.8,0.0,2.5,6.7,1020.1,1016.1,6.2
1,2023-01-02,81.22,56.56,96.0,7.88,3.37,12.38,0.18,1.97,12.22,968.85,958.85,1.75
2,2023-01-02,67.75,44.17,89.58,9.78,4.67,14.91,0.32,1.32,5.66,943.72,940.4,3.6
3,2023-01-02,62.33,39.75,85.5,12.07,4.77,19.39,0.0,1.17,4.56,1021.5,1018.27,6.8
4,2023-01-02,65.0,42.4,84.4,14.04,9.18,18.9,0.0,1.7,5.69,993.44,990.56,7.8
5,2023-01-02,83.1,66.8,96.5,6.36,2.49,10.19,0.13,1.34,8.46,898.3,891.3,2.0
6,2023-01-02,86.0,67.83,97.67,9.04,4.77,13.29,0.12,1.76,5.95,982.53,976.45,4.52
7,2023-01-02,81.87,55.87,96.51,13.58,7.86,19.27,0.03,1.2,5.03,1021.45,1018.65,5.8
8,2023-01-02,70.75,56.55,90.73,9.34,5.17,13.5,0.04,0.98,3.84,978.73,975.78,0.36
9,2023-01-02,76.5,58.93,92.64,6.34,2.34,10.34,0.1,1.52,11.53,931.85,923.02,3.53
10,2023-01-02,84.46,68.54,97.61,8.27,4.62,11.91,0.05,1.74,6.93,986.15,979.38,6.07
11,2023-01-02,91.53,68.5,97.43,14.07,11.58,16.57,12.07,2.05,7.78,1006.29,1002.51,0.15
12,2023-01-02,70.38,52.62,92.5,10.27,6.09,14.48,0.28,1.35,5.31,959.8,956.05,1.8
13,2023-01-02,84.58,40.2,95.3,10.32,7.83,12.79,1.58,1.54,5.57,950.6,946.35,0.1
14,2023-01-02,91.53,59.33,97.93,10.46,7.71,13.21,2.24,1.73,6.94,973.07,968.7,0.0
15,2023-01-02,83.78,68.72,93.72,9.31,5.78,12.84,0.9,3.22,8.86,1011.87,1002.8,6.58
16,2023-01-02,79.9,54.09,95.45,8.15,5.13,11.15,1.05,1.08,4.92,930.33,926.2,1.0
17,2023-01-02,83.75,67.74,97.16,9.38,4.44,14.33,0.18,0.94,4.79,970.6,967.48,1.17
18,2023-01-02,64.5,41.2,85.6,10.63,5.87,15.4,0.12,0.99,4.69,947.43,944.9,1.6
19,2023-01-02,79.44,46.78,94.0,7.81,5.12,10.49,0.12,0.75,6.95,923.45,918.4,0.25
20,2023-01-02,84.75,51.62,96.06,11.43,7.66,15.18,0.34,1.14,10.32,1010.18,998.2,0.0
21,2023-01-02,84.43,71.07,98.29,11.84,8.16,15.52,0.38,1.79,7.03,1008.8,1003.35,2.0
22,2023-01-02,82.97,57.21,95.59,7.73,4.94,10.51,1.89,1.39,7.82,927.5,923.37,0.9
23,2023-01-02,74.33,46.08,92.0,10.88,7.78,13.99,0.79,1.01,5.04,956.88,953.35,0.4
24,2023-01-02,81.85,60.31,96.85,3.74,-0.88,8.38,0.07,1.49,7.1,914.22,904.72,5.87
25,2023-01-02,75.55,49.14,95.55,7.19,3.42,10.95,2.85,1.18,6.61,986.9,982.1,1.8
26,2023-01-02,80.38,54.88,94.38,9.1,6.2,12.04,0.6,2.0,13.07,985.9,975.9,2.0
27,2023-01-02,82.91,66.82,94.27,6.9,2.87,10.9,0.31,1.68,6.07,976.4,967.3,5.8
28,2023-01-02,81.57,58.06,93.06,8.56,5.46,11.66,0.09,1.03,6.79,927.2,921.9,1.67
29,2023-01-02,68.67,43.3,87.0,14.48,10.84,18.11,0.68,1.08,5.95,1024.24,1021.12,1.3
30,2023-01-02,58.25,37.57,81.32,12.41,5.72,19.1,0.01,1.48,5.05,1001.41,998.26,6.43
31,2023-01-02,75.62,43.33,90.1,10.84,6.94,14.74,0.45,1.87,12.25,983.75,974.9,0.0
32,2023-01-02,90.42,72.0,98.5,5.64,1.2,10.08,0.14,0.67,4.4,931.4,922.7,2.7
33,2023-01-02,75.48,57.62,93.46,7.87,3.82,11.92,0.13,1.77,7.57,994.01,983.5,6.94
34,2023-01-02,87.75,68.75,98.5,3.72,-0.71,8.15,0.01,1.42,12.4,914.8,905.15,4.1
35,2023-01-02,65.14,48.75,82.11,18.05,14.27,21.83,0.0,2.34,6.71,1022.39,1019.64,8.73
