provincia_id,fecha,hr_media,hr_min,hr_max,tmed,tmin,tmax,prec,velmedia,racha,pres_max,pres_min,sol
1,2025-01-01,88.0,80.44,96.11,1.73,-1.19,4.64,0.02,3.38,9.25,971.2,967.25,5.95
2,2025-01-01,84.91,74.18,96.18,5.24,1.84,8.62,0.04,1.27,5.44,953.2,951.07,1.7
3,2025-01-01,81.33,69.08,93.08,10.78,7.19,14.37,1.72,1.89,6.53,1025.2,1022.7,2.63
4,2025-01-01,68.07,51.0,86.29,9.63,5.66,13.59,0.01,2.93,8.12,985.61,983.08,8.0
5,2025-01-01,84.89,70.0,98.33,2.28,-3.89,8.46,0.05,1.16,6.01,899.1,896.8,6.6
6,2025-01-01,73.42,50.17,96.42,7.22,0.23,14.21,0.01,1.74,5.92,983.83,981.1,8.28
7,2025-01-01,86.27,69.78,97.15,11.92,7.28,16.56,0.38,2.19,7.54,1024.3,1021.51,5.52
8,2025-01-01,82.45,63.11,94.84,7.25,2.48,12.01,0.01,1.26,4.64,988.34,984.7,5.12
9,2025-01-01,91.4,80.82,97.18,0.66,-3.68,4.95,0.02,1.13,5.25,943.17,939.4,3.75
10,2025-01-01,76.28,57.62,93.14,6.7,1.11,12.3,0.0,2.04,6.79,988.1,985.22,8.3
11,2025-01-01,73.2,55.5,90.29,11.06,6.12,16.01,0.01,2.3,7.51,1005.62,1002.82,8.7
12,2025-01-01,85.89,73.22,95.0,6.48,3.3,9.69,0.12,1.16,4.69,963.35,960.85,0.45
13,2025-01-01,79.55,54.78,96.44,5.32,-1.08,11.73,0.0,1.43,5.5,949.98,947.34,4.4
14,2025-01-01,68.8,45.2,92.87,8.01,1.13,14.9,0.0,1.45,5.49,974.9,972.1,9.2
15,2025-01-01,72.11,58.0,89.89,7.99,3.14,12.82,0.03,5.33,11.94,1012.24,1007.16,5.24
16,2025-01-01,75.91,61.55,94.73,4.74,-0.55,10.02,0.02,1.34,6.41,933.33,930.87,4.5
17,2025-01-01,78.06,60.35,94.24,7.14,1.46,12.83,0.0,1.34,5.42,960.17,955.57,5.15
18,2025-01-01,69.44,46.18,91.18,4.92,0.08,9.76,0.0,1.55,6.42,866.58,864.59,5.5
19,2025-01-01,76.44,57.44,96.11,2.99,-4.08,10.04,0.02,1.28,5.65,926.5,923.45,6.05
20,2025-01-01,63.19,45.38,92.25,7.54,1.54,13.52,0.0,2.4,10.34,1019.98,1015.24,7.3
21,2025-01-01,67.86,47.43,86.93,10.26,4.09,16.44,0.0,1.64,6.0,1010.45,1007.8,9.3
22,2025-01-01,74.29,56.93,90.03,1.89,-2.46,6.23,0.01,1.32,5.0,924.18,920.68,4.0
23,2025-01-01,63.91,46.64,84.55,8.15,2.65,13.7,0.0,1.19,5.2,968.43,966.07,7.2
24,2025-01-01,85.79,72.93,96.5,-1.09,-5.76,3.56,0.08,1.04,4.63,915.58,911.8,2.73
25,2025-01-01,75.76,60.1,86.4,1.06,-2.87,4.97,0.06,1.42,5.55,1010.7,1007.3,0.0
26,2025-01-01,85.5,78.38,93.75,0.64,-1.11,2.42,0.0,2.27,6.0,990.1,986.8,0.0
27,2025-01-01,70.0,52.4,89.3,5.4,0.18,10.63,0.0,2.62,9.62,976.5,972.2,5.4
28,2025-01-01,75.9,56.95,93.11,4.25,-1.66,10.18,0.0,1.32,5.55,922.66,920.1,7.52
29,2025-01-01,71.78,55.41,86.05,11.38,7.05,15.7,0.08,1.62,6.12,1019.48,1017.2,8.1
30,2025-01-01,81.48,70.0,93.67,10.13,6.85,13.4,0.17,2.37,7.04,1004.59,1002.44,3.33
31,2025-01-01,87.29,75.76,96.57,1.99,-1.38,5.4,0.03,1.89,6.91,988.35,984.85,0.0
32,2025-01-01,85.0,68.83,96.25,2.71,-2.12,7.54,0.03,1.72,6.28,932.1,928.5,5.0
33,2025-01-01,66.25,47.2,86.28,6.52,1.05,12.0,0.01,2.09,8.06,981.29,976.35,6.82
34,2025-01-01,89.62,79.12,97.62,-0.64,-4.22,3.0,0.01,1.6,5.26,916.7,913.15,4.15
35,2025-01-01,60.6,47.17,78.72,15.44,11.51,19.36,0.01,2.28,5.99,1022.69,1018.86,5.37
36,2025-01-01,75.91,53.91,94.18,6.52,0.28,12.77,0.02,2.19,7.54,1008.1,1004.4,6.95
37,2025-01-01,92.93,84.5,98.36,0.21,-3.38,3.77,0.05,1.11,4.98,916.64,913.96,2.35
38,2025-01-01,62.7,49.5,80.48,13.91,10.73,17.09,0.02,2.57,7.18,967.9,963.84,4.27
39,2025-01-01,66.62,48.24,86.62,5.67,0.17,11.16,0.0,3.34,9.13,928.57,923.76,8.4
40,2025-01-01,81.75,65.62,96.12,1.86,-3.98,7.7,0.1,1.36,5.51,871.5,868.85,6.2
41,2025-01-01,68.5,45.38,91.06,9.59,3.04,16.12,0.01,1.69,5.63,1000.34,997.64,9.05
42,2025-01-01,72.17,46.85,92.54,2.77,-5.38,10.94,0.0,1.76,6.45,905.1,901.8,8.5
43,2025-01-01,86.91,76.6,95.5,4.95,1.08,8.81,0.04,1.71,6.34,1024.95,1021.6,8.1
44,2025-01-01,86.71,72.76,97.71,1.72,-3.15,6.61,0.02,1.24,5.45,943.9,940.47,4.53
45,2025-01-01,80.56,61.57,98.57,4.84,-1.64,11.3,0.07,1.52,5.26,950.95,949.05,6.75
46,2025-01-01,89.83,81.39,96.28,9.09,6.41,11.8,4.36,0.81,4.36,995.63,993.23,1.67
47,2025-01-01,98.71,97.0,99.57,-1.08,-2.85,0.71,0.09,0.8,3.52,938.7,935.85,0.0
48,2025-01-01,66.6,48.6,94.2,7.48,1.63,13.34,0.02,2.59,10.29,1015.73,1011.3,7.8
49,2025-01-01,97.92,95.67,99.17,-1.27,-3.2,0.66,0.08,0.96,3.83,944.97,941.73,0.0
50,2025-01-01,92.62,85.23,98.15,0.65,-2.08,3.39,0.03,1.06,3.61,983.82,980.18,2.85
51,2025-01-01,71.0,60.0,92.0,13.7,11.3,16.1,0.0,3.9,8.6,1017.9,1015.9,7.3
52,2025-01-01,80.0,59.0,88.0,12.5,10.1,14.9,5.8,1.7,11.9,1021.7,1019.8,3.6
1,2025-01-02,87.0,75.33,95.67,3.31,-0.16,6.76,1.23,2.63,8.88,967.85,964.25,0.25
2,2025-01-02,71.5,47.27,97.36,5.51,-1.67,12.7,0.02,1.14,6.56,952.57,949.3,6.25
3,2025-01-02,73.67,50.0,92.36,11.18,5.88,16.51,0.02,1.74,6.76,1024.2,1020.53,8.43
4,2025-01-02,66.21,44.79,86.0,10.47,5.29,15.68,0.02,2.2,6.81,986.08,983.04,8.9
5,2025-01-02,81.89,59.78,97.0,2.81,-3.73,9.36,0.05,1.39,5.41,898.2,896.0,2.7
6,2025-01-02,70.17,43.42,94.96,7.83,0.34,15.31,0.01,1.23,3.95,984.37,981.18,7.72
7,2025-01-02,83.95,61.95,97.98,11.41,5.95,16.87,0.05,1.49,6.24,1022.09,1018.76,8.07
8,2025-01-02,68.47,52.32,92.42,6.76,1.27,12.26,0.01,2.21,8.53,984.18,979.46,6.68
