fecha,actual_mean,actual_min,actual_max,actual_std,predicted_mean,predicted_min,predicted_max,predicted_std
2023-01-01,12.538392217090069,1.7004199999999983,22.198019999999996,3.4187423413676297,11.741107,6.2946773,19.328323,1.7349906
2023-01-02,10.296912002288327,-0.8005100000000014,21.301249999999996,4.043459322795483,10.26768,3.2265866,20.115284,1.8070203
2023-01-03,9.300819448275861,-2.19858,21.802549999999997,4.564408805659074,9.641691,2.64985,19.100275,2.2211428
2023-01-04,9.353708589449539,-0.4997300000000005,21.40151,4.595704808188466,9.553359,3.8204532,19.182291,2.0475895
2023-01-05,8.972093325688071,-0.8005100000000014,21.40151,4.497756889029197,9.325142,2.4941611,19.37903,2.110607
2023-01-06,8.348569919632606,-1.6025899999999995,20.398909999999997,4.551986183802019,8.710775,3.2558007,19.053944,1.805424
2023-01-07,8.896374541284402,-1.001030000000001,20.398909999999997,4.487522383510365,9.17419,0.93244654,18.734638,2.2888343
2023-01-08,11.774276009174311,-1.5023300000000013,20.59943,3.661211567077468,11.727886,6.749134,20.553154,1.606668
2023-01-09,10.73460827784156,-6.19784,21.100730000000002,4.75880075375917,10.537054,4.9027495,20.385365,2.0357988
2023-01-10,10.078986862068964,-2.3991000000000016,20.799949999999995,4.244925941685374,10.139593,4.084244,19.369545,1.9323571
2023-01-11,9.756743938002295,-3.1009200000000017,21.702289999999998,4.314459850835207,9.92343,3.5651898,19.754553,1.886589
2023-01-12,9.066029587155962,-2.29884,21.40151,4.289536871358414,9.246735,3.6213953,19.172197,1.8865554
2023-01-13,9.573937944890929,-0.5999900000000018,21.00047,3.981732028239625,9.776669,2.882305,19.0048,1.92483
2023-01-14,9.7449610882016,1.60016,21.50177,3.977244159934069,9.928966,4.0002017,22.673601,1.975901
2023-01-15,8.802937393800228,-4.198210000000001,22.198019999999996,4.646738338006952,8.984693,2.5786862,18.90524,2.1006308
2023-01-16,8.587354518348622,-6.19784,21.50177,4.6026279911442955,8.717076,2.175043,18.65309,2.0498433
2023-01-17,8.784210115074798,-8.00252,20.59943,4.946008926888596,8.722786,1.2734133,19.682589,2.2163215
2023-01-18,5.783973097447795,-12.397250000000001,19.99787,5.25485805877897,6.099088,-1.8378956,18.436356,2.592952
2023-01-19,6.280645150115473,-10.00215,19.70266,4.606065195754036,6.7219296,-0.5209804,18.294392,2.3040285
2023-01-20,8.760266954022986,-11.60074,20.19839,4.913287767158898,8.762885,1.5547782,18.598581,2.309439
2023-01-21,6.815232190366971,-14.998440000000002,20.19839,5.64911636790882,7.096356,-1.0566307,18.910425,2.6578305
2023-01-22,5.234230080367393,-14.302190000000001,21.200989999999997,5.3390559968765565,5.235197,-2.7833865,10.925966,1.8625811
2023-01-23,4.444378906789412,-12.397250000000001,20.398909999999997,5.350627545574051,4.9489517,-3.6988928,17.781462,2.6532936
2023-01-24,4.373827931034481,-10.59814,19.797349999999994,5.127804216850628,5.053981,-1.7454392,15.61429,2.3080447
2023-01-25,5.232665304948215,-10.29736,19.6024,4.950576413496488,5.705475,-1.9806265,17.973549,2.4545748
2023-01-26,5.500187227949598,-10.79866,19.99787,4.616632816308184,6.0437484,-0.6670395,17.620834,2.399922
2023-01-27,5.3164932155074105,-12.30256,18.80032,4.715593748929292,5.7999983,-1.2215939,17.772053,2.486357
2023-01-28,5.0803341942857125,-10.89892,18.80032,4.624850447637147,5.5429435,-0.45063502,10.530879,1.6216383
2023-01-29,4.547651222857142,-8.598510000000001,18.5998,4.7240150466682715,5.300788,-2.2674162,17.99005,2.2706406
2023-01-30,5.1783636073059345,-8.00252,18.39928,4.466275764035279,5.8800125,-0.9069296,18.052366,1.9381552
2023-01-31,6.582907379862699,-4.3987300000000005,19.1011,4.162626904121102,7.055647,1.9402709,13.627894,1.7305107
2023-02-01,6.9756087613636355,-2.3991000000000016,19.000839999999997,3.7857715027996246,7.4128017,0.4278347,17.930782,1.9190408
2023-02-02,7.481908517673887,-3.401700000000001,18.5998,3.6821512955281874,7.8919115,0.5326148,18.272238,2.1587434
2023-02-03,8.356315662100455,-2.8001400000000007,19.000839999999997,3.310261108346367,8.51807,3.445194,16.096062,1.6445438
2023-02-04,8.932966556442416,-0.39947000000000227,18.900579999999994,3.474922472363913,9.011849,2.7947538,19.212738,2.1080217
2023-02-05,8.72344226393629,-3.99769,18.39928,3.6451812240870995,8.777994,3.1703115,15.812602,1.5948192
2023-02-06,6.940527551252846,-7.802,18.80032,4.296708452113081,7.3286,2.3041604,15.658316,1.7916473
2023-02-07,5.867243637400226,-8.00252,19.401879999999995,4.848554293698071,6.4935555,0.0595926,16.374073,2.1160278
2023-02-08,7.324628718535467,-7.6014800000000005,18.70006,4.033199993134099,7.854923,1.9884372,18.779495,2.043762
2023-02-09,7.00913289142857,-8.999550000000001,18.5998,4.400929558200701,7.38444,0.17865367,18.866365,2.1685698
2023-02-10,6.430316484018263,-5.501590000000001,18.80032,4.141316733594182,6.87619,-0.52900976,15.934591,2.1460683
2023-02-11,6.98355864155251,-3.8027400000000013,19.000839999999997,4.25645736235149,7.1853824,0.228709,16.780655,2.045892
2023-02-12,7.812102499999999,-3.2011800000000012,19.99787,4.35456062127035,7.8246236,1.003582,18.178398,2.0464077
2023-02-13,8.817314034285713,-1.9980600000000008,19.797349999999994,4.008837040110035,8.934985,2.6384873,16.735165,1.9208381
2023-02-14,9.32554676168757,-3.0006600000000003,20.09813,4.072931494668638,9.278761,3.7872367,17.990707,1.9066741
2023-02-15,9.634149100227788,-3.401700000000001,18.80032,3.5625083576459367,9.740247,3.9060006,16.91605,1.7611473
