idema,nombre,provincia_id,latitud,longitud,altitud
9657X,ESTERRI D'ÀNEU,25,42.6167,1.1167,952
9660,SANT MAURICI (LLAC),25,42.5667,1,1907
9677,PORT AINÉ,25,42.4,1.2,2410
9689X,"TORRE DE CABDELLA ",25,42.45,0.9833,1273
9698U,TALARN,25,42.2,0.85,807
9707,LLIMIANA,25,42.0667,0.9,515
9718X,TORDERA - GRANYANELLA,25,41.6667,1.2167,463
9720X,TÀRREGA,25,41.65,1.1333,388
9724X,OS DE BALAGUER,25,41.8667,0.75,520
9726E,LLORAC,43,41.55,1.3,657
9729X,MOLLERUSSA,25,41.6167,0.85,252
9744B,VALL DE BOÍ,25,42.5,0.7833,1089
9751,SOPEIRA,22,42.3167,0.7333,760
9756X,BENABARRE,22,42.1,0.4667,765
9771,"LLEIDA, OBSERVATORIO",25,41.6167,0.6167,199
9771C,LLEIDA,25,41.6167,0.5833,186
9772X,LA POBLA DE CÉRVOLES,25,41.35,0.9,673
9775X,EL SOLERÀS,25,41.4,0.6667,392
9776D,ELS TORMS,25,41.3833,0.7333,488
9784P,BIELSA,22,42.6167,0.2167,992
9808X,"AÍNSA-SOBRARBE, LA SERRETA",22,42.4167,0.1333,610
9812M,"PARADOR DE ORDESA, PARQUE NACIONAL ORDESA Y MONTEPERDIDO",22,42.65,-0.0833,1206
9814A,TORLA,22,42.6167,-0.1,1020
9814I,"TORLA-ORDESA, EL CEBOLLAR",22,42.65,-0.1167,1905
9814X,TORLA - ORDESA,22,42.6333,-0.1,1076
9838B,BENASQUE,22,42.5833,0.5167,1120
9839V,"CERLER, COGULLA",22,42.55,0.5333,2374
9843A,SEIRA,22,42.4667,0.4333,825
9855E,"CAPELLA, LAGUARRES",22,42.2,0.45,600
9866C,BARBASTRO,22,42.0167,0.1333,305
9894Y,SARIÑENA,22,41.7833,-0.15,300
9898,"HUESCA, AEROPUERTO",22,42.0833,-0.3167,546
9901X,HUESCA,22,42.1333,-0.3833,463
9908X,LANAJA,22,41.7667,-0.3167,380
9911X,BALLOBAR,22,41.6167,0.1833,178
9918Y,"TAMARITE DE LITERA, LA MELUSA",22,41.7667,0.3667,218
9924X,FRAGA,22,41.5167,0.35,170
9935X,VALDERROBRES,44,40.8667,0.1333,483
9946X,HORTA DE SANT JOAN,43,40.95,0.3,495
9947X,LA POBLA DE MASSALUCA,43,41.1667,0.35,370
9961X,CABACÉS,43,41.2333,0.7333,363
9975X,RASQUERA,43,41,0.6,112
9981A,ESTACIÓN DE TORTOSA (ROQUETES),43,40.8167,0.4833,50
9987P,SANT JAUME D'ENVEJA,43,40.6833,0.8,1
9988B,CAP DE VAQUÈIRA,25,42.6833,0.9667,2467
9990X,"NAUT ARAN, ARTIES ",25,42.7,0.8667,1161
9994X,BOSSÒST,25,42.7667,0.6833,722
9995Y,VALCARLOS/LUZAIDE,31,43.0833,-1.3,334
9998X,BELLO,44,40.9167,-1.4833,1006
B013X,"ESCORCA, LLUC",7,39.8167,2.8833,490
B051A,"SÓLLER, PUERTO",7,39.7833,2.6833,5
B087X,BANYALBUFAR,7,39.6833,2.5,60
B103B,ANDRATX - SANT ELM,7,39.5667,2.3667,52
B158X,"CALVIÀ, ES CAPDELLÀ",7,39.55,2.45,50
B228,"PALMA, PUERTO",7,39.55,2.6167,3
B236C,"PALMA, UNIVERSITAT",7,39.6333,2.6333,95
B248,"SIERRA DE ALFABIA, BUNYOLA",7,39.7333,2.7,1030
B275E,"SON BONET, AEROPUERTO",7,39.6,2.7,47
B278,"PALMA DE MALLORCA, AEROPUERTO",7,39.55,2.7333,5
B301,"LLUCMAJOR, CAP BLANC",7,39.3667,2.7833,113
B334X,LLUCMAJOR,7,39.4833,2.8833,140
B341X,PORRERES,7,39.5,3,149
B346X,PORRERES,7,39.5167,3.0167,120
B362X,"CAMPOS, CAN SION",7,39.4,3.05,40
B373X,"CAMPOS, SALINES LLEVANT",7,39.35,3,3
B398A,"CABRERA, PARQUE NACIONAL DE CABRERA",7,39.1333,2.9333,165
B410B,SANTANYÍ,7,39.3333,3.1333,45
B434X,"PORTOCOLOM  ",7,39.4,3.2667,17
B496X,SON SERVERA,7,39.6167,3.3833,25
B526X,ARTÀ,7,39.6833,3.35,110
B569X,CAPDEPERA,7,39.7167,3.4667,57
B603X,ARTÀ-COLÒNIA DE SANT PERE,7,39.7167,3.2667,99
B605X,"MURO, S'ALBUFERA",7,39.7833,3.1,2
B614E,MANACOR,7,39.55,3.2167,100
B640X,PETRA,7,39.6,3.1167,95
B644B,SINEU,7,39.6333,3,120
B656A,SANTA MARÍA DEL CAMÍ,7,39.65,2.8,121
B662X,BINISSALEM,7,39.6667,2.8667,105
B684A,"ESCORCA, SON TORRELLA",7,39.7833,2.7833,842
B691,LA PUEBLA (SA CANOVA),7,39.7333,3,40
B691Y,SA POBLA,7,39.7333,3.0167,40
B760X,POLLENÇA,7,39.8667,3.0167,45
B780X,PORT DE POLLENÇA,7,39.9,3.1,2
B800X,"LA MOLA, MAÓ",7,39.8667,4.3167,78
