fecha,actual_mean,actual_min,actual_max,actual_std,predicted_mean,predicted_min,predicted_max,predicted_std
2023-01-01,12.538392217090069,1.7004199999999983,22.198019999999996,3.4187423413676297,11.701744,7.9195046,18.245699,1.0750047
2023-01-02,10.296912002288327,-0.8005100000000014,21.301249999999996,4.043459322795483,10.470489,7.4513164,14.641874,0.96611184
2023-01-03,9.300819448275861,-2.19858,21.802549999999997,4.564408805659074,9.833611,6.246911,16.821663,1.089722
2023-01-04,9.353708589449539,-0.4997300000000005,21.40151,4.595704808188466,9.801921,4.7910886,16.304659,1.1311234
2023-01-05,8.972093325688071,-0.8005100000000014,21.40151,4.497756889029197,9.547573,6.0885496,16.11976,1.1224849
2023-01-06,8.348569919632606,-1.6025899999999995,20.398909999999997,4.551986183802019,8.999547,5.5533442,13.9165,1.0804064
2023-01-07,8.896374541284402,-1.001030000000001,20.398909999999997,4.487522383510365,9.308309,5.7874656,16.288311,1.1132526
2023-01-08,11.774276009174311,-1.5023300000000013,20.59943,3.661211567077468,11.689005,7.4751472,15.740333,0.8815857
2023-01-09,10.73460827784156,-6.19784,21.100730000000002,4.75880075375917,10.447349,6.8182793,16.302547,1.0853388
2023-01-10,10.078986862068964,-2.3991000000000016,20.799949999999995,4.244925941685374,10.320167,7.068589,16.222656,1.0362415
2023-01-11,9.756743938002295,-3.1009200000000017,21.702289999999998,4.314459850835207,10.111488,7.0580482,16.018003,0.9458298
2023-01-12,9.066029587155962,-2.29884,21.40151,4.289536871358414,9.517368,6.4548845,13.320318,0.9161425
2023-01-13,9.573937944890929,-0.5999900000000018,21.00047,3.981732028239625,9.9496975,5.357324,18.287151,1.0877674
2023-01-14,9.7449610882016,1.60016,21.50177,3.977244159934069,10.090073,7.0863028,17.484592,1.075036
2023-01-15,8.802937393800228,-4.198210000000001,22.198019999999996,4.646738338006952,9.087297,5.189886,17.550993,1.0198578
2023-01-16,8.587354518348622,-6.19784,21.50177,4.6026279911442955,8.770017,5.4039884,16.469543,1.1479164
2023-01-17,8.784210115074798,-8.00252,20.59943,4.946008926888596,8.837945,3.6111019,17.5771,1.0710341
2023-01-18,5.783973097447795,-12.397250000000001,19.99787,5.25485805877897,6.0165534,1.6426282,12.508703,1.1292785
2023-01-19,6.280645150115473,-10.00215,19.70266,4.606065195754036,6.8150487,3.7412632,18.275986,1.1048856
2023-01-20,8.760266954022986,-11.60074,20.19839,4.913287767158898,8.752321,4.2804575,16.275703,1.2957411
2023-01-21,6.815232190366971,-14.998440000000002,20.19839,5.64911636790882,7.0558467,1.0800644,14.294446,1.3968294
2023-01-22,5.234230080367393,-14.302190000000001,21.200989999999997,5.3390559968765565,5.2920504,0.7435779,9.92239,1.1445116
2023-01-23,4.444378906789412,-12.397250000000001,20.398909999999997,5.350627545574051,4.8197546,-0.10635819,14.164548,1.2154014
2023-01-24,4.373827931034481,-10.59814,19.797349999999994,5.127804216850628,4.995212,1.0024067,10.860627,1.1890303
2023-01-25,5.232665304948215,-10.29736,19.6024,4.950576413496488,5.867688,2.3984213,14.003277,1.1569519
2023-01-26,5.500187227949598,-10.79866,19.99787,4.616632816308184,6.029921,2.7707717,13.790629,1.183568
2023-01-27,5.3164932155074105,-12.30256,18.80032,4.715593748929292,5.8497777,1.2780713,13.872245,1.1696097
2023-01-28,5.0803341942857125,-10.89892,18.80032,4.624850447637147,5.620947,-0.08095538,11.620285,1.0407997
2023-01-29,4.547651222857142,-8.598510000000001,18.5998,4.7240150466682715,5.3508167,0.6293972,13.847687,1.0985808
2023-01-30,5.1783636073059345,-8.00252,18.39928,4.466275764035279,6.0417104,1.4648914,10.438203,0.9384094
2023-01-31,6.582907379862699,-4.3987300000000005,19.1011,4.162626904121102,7.2483277,3.09069,11.251727,0.9800722
2023-02-01,6.9756087613636355,-2.3991000000000016,19.000839999999997,3.7857715027996246,7.636511,4.073636,11.877693,0.9525517
2023-02-02,7.481908517673887,-3.401700000000001,18.5998,3.6821512955281874,8.04597,4.5394826,14.412365,0.9509829
2023-02-03,8.356315662100455,-2.8001400000000007,19.000839999999997,3.310261108346367,8.668346,4.9581265,11.589844,0.9028673
2023-02-04,8.932966556442416,-0.39947000000000227,18.900579999999994,3.474922472363913,9.062204,5.5421195,15.440576,1.0081939
2023-02-05,8.72344226393629,-3.99769,18.39928,3.6451812240870995,8.890418,4.4513936,16.547018,0.94935936
2023-02-06,6.940527551252846,-7.802,18.80032,4.296708452113081,7.3925633,2.182118,12.889979,1.0079914
2023-02-07,5.867243637400226,-8.00252,19.401879999999995,4.848554293698071,6.647008,3.036538,14.2328205,1.0418351
2023-02-08,7.324628718535467,-7.6014800000000005,18.70006,4.033199993134099,7.9040227,2.9373534,14.087325,0.9159142
2023-02-09,7.00913289142857,-8.999550000000001,18.5998,4.400929558200701,7.5655475,3.4133704,13.465541,0.94407
2023-02-10,6.430316484018263,-5.501590000000001,18.80032,4.141316733594182,7.076922,4.3147182,13.577265,0.9638714
2023-02-11,6.98355864155251,-3.8027400000000013,19.000839999999997,4.25645736235149,7.4353623,3.8331006,13.654125,0.97556245
2023-02-12,7.812102499999999,-3.2011800000000012,19.99787,4.35456062127035,8.077942,4.540784,15.044276,1.0033301
2023-02-13,8.817314034285713,-1.9980600000000008,19.797349999999994,4.008837040110035,9.024207,4.9534106,14.147809,0.9910971
2023-02-14,9.32554676168757,-3.0006600000000003,20.09813,4.072931494668638,9.339117,5.5529175,15.6630535,0.9913506
2023-02-15,9.634149100227788,-3.401700000000001,18.80032,3.5625083576459367,9.808413,3.8805099,14.978029,0.93378705
