fecha,actual_mean,actual_min,actual_max,actual_std,predicted_mean,predicted_min,predicted_max,predicted_std
2023-01-01,12.538392217090069,1.7004199999999983,22.198019999999996,3.4187423413676297,11.890576,5.618233,22.268463,1.8670491
2023-01-02,10.296912002288327,-0.8005100000000014,21.301249999999996,4.043459322795483,10.213053,2.7458189,19.552053,1.7938048
2023-01-03,9.300819448275861,-2.19858,21.802549999999997,4.564408805659074,9.676287,2.534132,21.073025,2.3256402
2023-01-04,9.353708589449539,-0.4997300000000005,21.40151,4.595704808188466,9.549453,4.184849,20.662832,2.0508718
2023-01-05,8.972093325688071,-0.8005100000000014,21.40151,4.497756889029197,9.384128,2.5956712,20.441244,2.2383738
2023-01-06,8.348569919632606,-1.6025899999999995,20.398909999999997,4.551986183802019,8.802152,2.9377387,19.710112,1.8894283
2023-01-07,8.896374541284402,-1.001030000000001,20.398909999999997,4.487522383510365,9.344681,2.7824233,20.333284,2.3344443
2023-01-08,11.774276009174311,-1.5023300000000013,20.59943,3.661211567077468,11.753562,7.201996,20.981586,1.6086357
2023-01-09,10.73460827784156,-6.19784,21.100730000000002,4.75880075375917,10.53832,5.2743597,19.316992,2.0948727
2023-01-10,10.078986862068964,-2.3991000000000016,20.799949999999995,4.244925941685374,10.13575,3.6088657,20.894241,1.9768947
2023-01-11,9.756743938002295,-3.1009200000000017,21.702289999999998,4.314459850835207,10.01585,4.4964886,19.814066,1.9300506
2023-01-12,9.066029587155962,-2.29884,21.40151,4.289536871358414,9.238771,3.6739423,20.566195,1.9302781
2023-01-13,9.573937944890929,-0.5999900000000018,21.00047,3.981732028239625,9.777648,3.4023116,20.689486,1.9816182
2023-01-14,9.7449610882016,1.60016,21.50177,3.977244159934069,9.951407,3.9113674,21.088013,1.9943429
2023-01-15,8.802937393800228,-4.198210000000001,22.198019999999996,4.646738338006952,8.9877,3.4555323,20.863638,2.1143775
2023-01-16,8.587354518348622,-6.19784,21.50177,4.6026279911442955,8.756917,2.0274885,19.817719,2.14808
2023-01-17,8.784210115074798,-8.00252,20.59943,4.946008926888596,8.796042,2.698441,20.993662,2.2580483
2023-01-18,5.783973097447795,-12.397250000000001,19.99787,5.25485805877897,6.070939,-0.8182065,19.021196,2.795843
2023-01-19,6.280645150115473,-10.00215,19.70266,4.606065195754036,6.700303,-0.702804,19.807901,2.3243275
2023-01-20,8.760266954022986,-11.60074,20.19839,4.913287767158898,8.811555,0.91725594,20.781057,2.4383695
2023-01-21,6.815232190366971,-14.998440000000002,20.19839,5.64911636790882,7.0567713,-0.27590454,19.907795,2.7853503
2023-01-22,5.234230080367393,-14.302190000000001,21.200989999999997,5.3390559968765565,5.119744,-0.37243953,13.120841,1.8605623
2023-01-23,4.444378906789412,-12.397250000000001,20.398909999999997,5.350627545574051,4.8790674,-2.2785058,17.733505,2.6493108
2023-01-24,4.373827931034481,-10.59814,19.797349999999994,5.127804216850628,4.94528,-1.3910854,17.825153,2.3377538
2023-01-25,5.232665304948215,-10.29736,19.6024,4.950576413496488,5.723825,-3.8709714,18.103224,2.51371
2023-01-26,5.500187227949598,-10.79866,19.99787,4.616632816308184,5.9960036,-1.6512506,20.021774,2.4387255
2023-01-27,5.3164932155074105,-12.30256,18.80032,4.715593748929292,5.848866,-2.6338248,19.357347,2.5405688
2023-01-28,5.0803341942857125,-10.89892,18.80032,4.624850447637147,5.509775,0.17074382,11.787557,1.6347511
2023-01-29,4.547651222857142,-8.598510000000001,18.5998,4.7240150466682715,5.099683,-0.944032,18.072866,2.2730134
2023-01-30,5.1783636073059345,-8.00252,18.39928,4.466275764035279,5.6795974,-1.0744375,16.290722,1.9838465
2023-01-31,6.582907379862699,-4.3987300000000005,19.1011,4.162626904121102,6.879645,-0.19069728,14.200487,1.6653656
2023-02-01,6.9756087613636355,-2.3991000000000016,19.000839999999997,3.7857715027996246,7.458977,0.7211083,19.123962,1.9754741
2023-02-02,7.481908517673887,-3.401700000000001,18.5998,3.6821512955281874,7.8231015,0.47350097,19.10703,2.221618
2023-02-03,8.356315662100455,-2.8001400000000007,19.000839999999997,3.310261108346367,8.469598,3.5590196,17.25082,1.6683148
2023-02-04,8.932966556442416,-0.39947000000000227,18.900579999999994,3.474922472363913,9.109265,1.8745685,19.483316,2.0800092
2023-02-05,8.72344226393629,-3.99769,18.39928,3.6451812240870995,8.706248,2.4825761,15.142992,1.5701157
2023-02-06,6.940527551252846,-7.802,18.80032,4.296708452113081,7.2300673,1.3502144,17.408024,1.8005626
2023-02-07,5.867243637400226,-8.00252,19.401879999999995,4.848554293698071,6.4028363,-1.3051145,17.6246,2.1343052
2023-02-08,7.324628718535467,-7.6014800000000005,18.70006,4.033199993134099,7.8601475,0.5833657,17.797922,2.0094483
2023-02-09,7.00913289142857,-8.999550000000001,18.5998,4.400929558200701,7.3724313,0.23011003,17.990343,2.125571
2023-02-10,6.430316484018263,-5.501590000000001,18.80032,4.141316733594182,6.861096,-0.1164277,17.181503,2.146625
2023-02-11,6.98355864155251,-3.8027400000000013,19.000839999999997,4.25645736235149,7.1311913,1.3442152,17.495178,2.0315993
2023-02-12,7.812102499999999,-3.2011800000000012,19.99787,4.35456062127035,7.8551087,1.7229218,18.104414,2.0057795
2023-02-13,8.817314034285713,-1.9980600000000008,19.797349999999994,4.008837040110035,8.980864,3.7606354,18.013754,1.9031892
2023-02-14,9.32554676168757,-3.0006600000000003,20.09813,4.072931494668638,9.256556,3.3363984,18.28761,1.8827593
